<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.03;08:20:00;0.65536;0.65585;0.65526;0.65580;235;0;4
2022.06.03;08:30:00;0.65579;0.65594;0.65560;0.65571;195;0;1
2022.06.03;08:40:00;0.65571;0.65583;0.65550;0.65570;224;0;2
2022.06.03;08:50:00;0.65572;0.65591;0.65565;0.65567;280;0;3
2022.06.03;09:00:00;0.65566;0.65576;0.65540;0.65564;325;0;3
2022.06.03;09:10:00;0.65564;0.65567;0.65535;0.65552;256;0;3
2022.06.03;09:20:00;0.65552;0.65581;0.65531;0.65533;207;0;4
2022.06.03;09:30:00;0.65537;0.65576;0.65537;0.65558;278;0;4
2022.06.03;09:40:00;0.65560;0.65566;0.65537;0.65540;253;0;2
2022.06.03;09:50:00;0.65540;0.65543;0.65494;0.65525;343;0;3
2022.06.03;10:00:00;0.65524;0.65533;0.65490;0.65511;386;0;3
2022.06.03;10:10:00;0.65511;0.65547;0.65505;0.65530;252;0;3
2022.06.03;10:20:00;0.65532;0.65541;0.65505;0.65531;211;0;3
2022.06.03;10:30:00;0.65531;0.65567;0.65521;0.65563;312;0;1
2022.06.03;10:40:00;0.65564;0.65594;0.65552;0.65581;262;0;1
2022.06.03;10:50:00;0.65580;0.65591;0.65549;0.65549;231;0;1
2022.06.03;11:00:00;0.65549;0.65569;0.65520;0.65561;302;0;2
2022.06.03;11:10:00;0.65561;0.65582;0.65549;0.65565;267;0;2
2022.06.03;11:20:00;0.65565;0.65577;0.65551;0.65570;213;0;2
2022.06.03;11:30:00;0.65573;0.65583;0.65556;0.65562;165;0;2
2022.06.03;11:40:00;0.65562;0.65603;0.65558;0.65573;180;0;1
2022.06.03;11:50:00;0.65573;0.65573;0.65534;0.65539;154;0;2
2022.06.03;12:00:00;0.65540;0.65544;0.65491;0.65494;248;0;2
2022.06.03;12:10:00;0.65496;0.65507;0.65458;0.65459;137;0;2
2022.06.03;12:20:00;0.65459;0.65465;0.65431;0.65433;197;0;1
2022.06.03;12:30:00;0.65433;0.65444;0.65420;0.65436;165;0;2
2022.06.03;12:40:00;0.65436;0.65450;0.65419;0.65437;157;0;3
2022.06.03;12:50:00;0.65437;0.65456;0.65410;0.65436;224;0;1
2022.06.03;13:00:00;0.65436;0.65454;0.65409;0.65410;177;0;1
2022.06.03;13:10:00;0.65409;0.65440;0.65405;0.65428;230;0;1
2022.06.03;13:20:00;0.65428;0.65454;0.65416;0.65420;192;0;2
2022.06.03;13:30:00;0.65420;0.65448;0.65386;0.65387;198;0;2
2022.06.03;13:40:00;0.65387;0.65388;0.65347;0.65357;275;0;2
2022.06.03;13:50:00;0.65359;0.65380;0.65352;0.65375;270;0;1
2022.06.03;14:00:00;0.65377;0.65382;0.65356;0.65366;276;0;2
2022.06.03;14:10:00;0.65366;0.65379;0.65342;0.65358;304;0;1
2022.06.03;14:20:00;0.65358;0.65382;0.65346;0.65364;223;0;2
2022.06.03;14:30:00;0.65366;0.65411;0.65366;0.65385;210;0;0
2022.06.03;14:40:00;0.65385;0.65388;0.65350;0.65358;185;0;2
2022.06.03;14:50:00;0.65358;0.65380;0.65334;0.65344;273;0;3
2022.06.03;15:00:00;0.65345;0.65359;0.65326;0.65355;228;0;2
2022.06.03;15:10:00;0.65356;0.65391;0.65352;0.65369;296;0;3
2022.06.03;15:20:00;0.65369;0.65454;0.65340;0.65450;264;0;3
2022.06.03;15:30:00;0.65380;0.65398;0.65159;0.65175;1123;0;3
2022.06.03;15:40:00;0.65176;0.65201;0.65077;0.65143;1031;0;1
