<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.28;18:40:00;0.69173;0.69182;0.69122;0.69175;1265;0;0
2022.06.28;18:50:00;0.69172;0.69194;0.69141;0.69160;1199;0;0
2022.06.28;19:00:00;0.69160;0.69205;0.69106;0.69191;1086;0;0
2022.06.28;19:10:00;0.69191;0.69218;0.69151;0.69199;757;0;1
2022.06.28;19:20:00;0.69200;0.69258;0.69192;0.69250;820;0;0
2022.06.28;19:30:00;0.69245;0.69266;0.69224;0.69237;582;0;0
2022.06.28;19:40:00;0.69240;0.69264;0.69218;0.69223;537;0;0
2022.06.28;19:50:00;0.69223;0.69242;0.69200;0.69225;646;0;0
2022.06.28;20:00:00;0.69224;0.69253;0.69156;0.69156;1167;0;0
2022.06.28;20:10:00;0.69156;0.69174;0.69140;0.69148;667;0;0
2022.06.28;20:20:00;0.69149;0.69162;0.69110;0.69156;565;0;1
2022.06.28;20:30:00;0.69156;0.69187;0.69133;0.69149;813;0;2
2022.06.28;20:40:00;0.69148;0.69203;0.69144;0.69202;541;0;0
2022.06.28;20:50:00;0.69202;0.69228;0.69182;0.69223;444;0;2
2022.06.28;21:00:00;0.69219;0.69249;0.69179;0.69189;570;0;2
2022.06.28;21:10:00;0.69188;0.69204;0.69150;0.69160;477;0;0
2022.06.28;21:20:00;0.69158;0.69193;0.69156;0.69190;489;0;1
2022.06.28;21:30:00;0.69190;0.69190;0.69115;0.69119;482;0;0
2022.06.28;21:40:00;0.69119;0.69142;0.69098;0.69116;576;0;0
2022.06.28;21:50:00;0.69117;0.69127;0.69091;0.69121;521;0;0
2022.06.28;22:00:00;0.69120;0.69130;0.69067;0.69073;550;0;2
2022.06.28;22:10:00;0.69074;0.69100;0.69069;0.69092;436;0;1
2022.06.28;22:20:00;0.69092;0.69117;0.69080;0.69102;489;0;1
2022.06.28;22:30:00;0.69105;0.69113;0.69081;0.69110;616;0;0
2022.06.28;22:40:00;0.69110;0.69111;0.69078;0.69086;401;0;0
2022.06.28;22:50:00;0.69081;0.69093;0.69049;0.69082;539;0;0
2022.06.28;23:00:00;0.69079;0.69099;0.69062;0.69067;217;0;2
2022.06.28;23:10:00;0.69068;0.69094;0.69067;0.69072;136;0;3
2022.06.28;23:20:00;0.69072;0.69111;0.69072;0.69082;163;0;1
2022.06.28;23:30:00;0.69081;0.69092;0.69077;0.69086;110;0;0
2022.06.28;23:40:00;0.69087;0.69087;0.69067;0.69073;104;0;3
2022.06.28;23:50:00;0.69072;0.69074;0.69036;0.69067;173;0;3
2022.06.29;00:00:00;0.69075;0.69075;0.69022;0.69051;96;0;32
2022.06.29;00:10:00;0.69050;0.69058;0.69044;0.69049;82;0;30
2022.06.29;00:20:00;0.69053;0.69055;0.69041;0.69049;66;0;23
2022.06.29;00:30:00;0.69049;0.69051;0.69037;0.69037;49;0;22
2022.06.29;00:40:00;0.69037;0.69049;0.69037;0.69047;33;0;15
2022.06.29;00:50:00;0.69048;0.69052;0.69040;0.69047;31;0;21
2022.06.29;01:00:00;0.69047;0.69069;0.69047;0.69056;155;0;3
2022.06.29;01:10:00;0.69056;0.69057;0.69030;0.69038;85;0;3
2022.06.29;01:20:00;0.69038;0.69044;0.69031;0.69038;118;0;3
2022.06.29;01:30:00;0.69038;0.69059;0.69038;0.69059;218;0;3
2022.06.29;01:40:00;0.69059;0.69073;0.69056;0.69071;97;0;3
2022.06.29;01:50:00;0.69070;0.69095;0.69070;0.69091;97;0;3
2022.06.29;02:00:00;0.69091;0.69093;0.69061;0.69090;468;0;0
2022.06.29;02:10:00;0.69090;0.69100;0.69079;0.69085;236;0;1
2022.06.29;02:20:00;0.69085;0.69098;0.69065;0.69066;317;0;0
2022.06.29;02:30:00;0.69066;0.69088;0.69046;0.69086;455;0;0
